t, x, dx, ddx, dddx, ddddx, y, dy, ddy, dddy, ddddy, z, dz, ddz, dddz, ddddz, psi, dpsi, ddpsi, dddpsi, ddddpsi
0.000000, 0.000000, 0.000000, 0.000000, 1.777778, -0.711111, 0.000000, 0.000000, 0.000000, 0.888889, -0.355556, 0.000000, 0.000000, 0.000000, 0.177778, -0.071111, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.010000, 0.000000, 0.000089, 0.017742, 1.770671, -0.710163, 0.000000, 0.000044, 0.008871, 0.885336, -0.355081, 0.000000, 0.000009, 0.001774, 0.177067, -0.071016, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.020000, 0.000002, 0.000355, 0.035413, 1.763574, -0.709215, 0.000001, 0.000177, 0.017707, 0.881787, -0.354607, 0.000000, 0.000035, 0.003541, 0.176357, -0.070921, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.030000, 0.000008, 0.000797, 0.053014, 1.756487, -0.708267, 0.000004, 0.000398, 0.026507, 0.878244, -0.354133, 0.000001, 0.000080, 0.005301, 0.175649, -0.070827, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.040000, 0.000019, 0.001415, 0.070543, 1.749409, -0.707319, 0.000009, 0.000707, 0.035272, 0.874705, -0.353659, 0.000002, 0.000141, 0.007054, 0.174941, -0.070732, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.050000, 0.000037, 0.002207, 0.088002, 1.742341, -0.706370, 0.000018, 0.001104, 0.044001, 0.871170, -0.353185, 0.000004, 0.000221, 0.008800, 0.174234, -0.070637, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.060000, 0.000064, 0.003174, 0.105390, 1.735282, -0.705422, 0.000032, 0.001587, 0.052695, 0.867641, -0.352711, 0.000006, 0.000317, 0.010539, 0.173528, -0.070542, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.070000, 0.000101, 0.004315, 0.122708, 1.728232, -0.704474, 0.000050, 0.002157, 0.061354, 0.864116, -0.352237, 0.000010, 0.000431, 0.012271, 0.172823, -0.070447, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.080000, 0.000150, 0.005628, 0.139955, 1.721192, -0.703526, 0.000075, 0.002814, 0.069977, 0.860596, -0.351763, 0.000015, 0.000563, 0.013995, 0.172119, -0.070353, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.090000, 0.000214, 0.007114, 0.157132, 1.714162, -0.702578, 0.000107, 0.003557, 0.078566, 0.857081, -0.351289, 0.000021, 0.000711, 0.015713, 0.171416, -0.070258, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.100000, 0.000293, 0.008771, 0.174238, 1.707141, -0.701630, 0.000147, 0.004385, 0.087119, 0.853570, -0.350815, 0.000029, 0.000877, 0.017424, 0.170714, -0.070163, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.110000, 0.000390, 0.010598, 0.191274, 1.700129, -0.700682, 0.000195, 0.005299, 0.095637, 0.850065, -0.350341, 0.000039, 0.001060, 0.019127, 0.170013, -0.070068, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.120000, 0.000506, 0.012596, 0.208241, 1.693127, -0.699733, 0.000253, 0.006298, 0.104120, 0.846564, -0.349867, 0.000051, 0.001260, 0.020824, 0.169313, -0.069973, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.130000, 0.000643, 0.014763, 0.225137, 1.686135, -0.698785, 0.000321, 0.007381, 0.112568, 0.843067, -0.349393, 0.000064, 0.001476, 0.022514, 0.168613, -0.069879, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
