Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
3.816581, 0.000194, -0.000387 ,0.000113
3.817279, 0.000194, -0.000387 ,0.000112
3.817990, 0.000194, -0.000387 ,0.000110
3.818713, 0.000194, -0.000387 ,0.000109
3.819448, 0.000194, -0.000386 ,0.000107
3.820196, 0.000194, -0.000386 ,0.000106
3.820956, 0.000194, -0.000386 ,0.000105
3.821728, 0.000194, -0.000385 ,0.000103
3.822510, 0.000194, -0.000385 ,0.000102
3.823305, 0.000194, -0.000385 ,0.000100
3.824110, 0.000194, -0.000384 ,0.000099
3.824927, 0.000194, -0.000384 ,0.000097
3.825755, 0.000194, -0.000383 ,0.000096
3.826593, 0.000194, -0.000383 ,0.000095
3.827442, 0.000194, -0.000383 ,0.000093
3.828301, 0.000194, -0.000382 ,0.000092
3.829170, 0.000194, -0.000382 ,0.000091
3.830049, 0.000194, -0.000381 ,0.000089
3.830938, 0.000194, -0.000381 ,0.000088
3.831836, 0.000194, -0.000380 ,0.000087
3.832744, 0.000194, -0.000380 ,0.000085
3.833661, 0.000194, -0.000379 ,0.000084
3.834587, 0.000194, -0.000379 ,0.000083
3.835523, 0.000194, -0.000378 ,0.000081
3.836467, 0.000194, -0.000378 ,0.000080
3.837420, 0.000194, -0.000377 ,0.000079
3.838380, 0.000193, -0.000377 ,0.000078
3.839350, 0.000193, -0.000376 ,0.000076
3.840327, 0.000193, -0.000375 ,0.000075
3.841312, 0.000193, -0.000375 ,0.000074
3.842305, 0.000193, -0.000374 ,0.000073
3.843306, 0.000193, -0.000374 ,0.000071
3.844314, 0.000193, -0.000373 ,0.000070
3.845330, 0.000192, -0.000372 ,0.000069
3.846352, 0.000192, -0.000372 ,0.000068
3.847382, 0.000192, -0.000371 ,0.000067
3.848418, 0.000192, -0.000371 ,0.000065
3.849461, 0.000192, -0.000370 ,0.000064
3.850511, 0.000191, -0.000369 ,0.000063
3.851567, 0.000191, -0.000369 ,0.000062
3.852629, 0.000191, -0.000368 ,0.000061
3.853698, 0.000191, -0.000367 ,0.000060
3.854772, 0.000190, -0.000367 ,0.000059
3.855852, 0.000190, -0.000366 ,0.000057
3.856937, 0.000190, -0.000365 ,0.000056
3.858028, 0.000190, -0.000364 ,0.000055
3.859125, 0.000189, -0.000364 ,0.000054
3.860227, 0.000189, -0.000363 ,0.000053
3.861334, 0.000189, -0.000362 ,0.000052
3.862445, 0.000189, -0.000362 ,0.000051
3.863562, 0.000188, -0.000361 ,0.000050
3.864683, 0.000188, -0.000360 ,0.000049
3.865808, 0.000188, -0.000359 ,0.000048
3.866939, 0.000187, -0.000359 ,0.000047
3.868073, 0.000187, -0.000358 ,0.000046
3.869211, 0.000187, -0.000357 ,0.000045
3.870354, 0.000186, -0.000356 ,0.000044
3.871500, 0.000186, -0.000356 ,0.000043
3.872650, 0.000186, -0.000355 ,0.000042
3.873803, 0.000185, -0.000354 ,0.000041
3.874960, 0.000185, -0.000353 ,0.000040
3.876121, 0.000185, -0.000352 ,0.000039
3.877284, 0.000184, -0.000352 ,0.000038
3.878451, 0.000184, -0.000351 ,0.000037
3.879620, 0.000184, -0.000350 ,0.000036
3.880793, 0.000183, -0.000349 ,0.000035
3.881968, 0.000183, -0.000348 ,0.000034
3.883145, 0.000183, -0.000348 ,0.000033
3.884326, 0.000182, -0.000347 ,0.000033
3.885508, 0.000182, -0.000346 ,0.000032
3.886692, 0.000182, -0.000345 ,0.000031
3.887879, 0.000181, -0.000344 ,0.000030
3.889068, 0.000181, -0.000344 ,0.000029
3.890258, 0.000180, -0.000343 ,0.000028
3.891451, 0.000180, -0.000342 ,0.000027
3.892645, 0.000180, -0.000341 ,0.000026
3.893840, 0.000179, -0.000340 ,0.000026
3.895037, 0.000179, -0.000339 ,0.000025
3.896235, 0.000178, -0.000339 ,0.000024
3.897435, 0.000178, -0.000338 ,0.000023
3.898636, 0.000178, -0.000337 ,0.000022
3.899837, 0.000177, -0.000336 ,0.000022
3.901040, 0.000177, -0.000335 ,0.000021
3.902243, 0.000176, -0.000334 ,0.000020
3.903447, 0.000176, -0.000334 ,0.000019
3.904651, 0.000176, -0.000333 ,0.000019
3.905856, 0.000175, -0.000332 ,0.000018
3.907062, 0.000175, -0.000331 ,0.000017
3.908267, 0.000174, -0.000330 ,0.000016
3.909472, 0.000174, -0.000329 ,0.000016
3.910678, 0.000173, -0.000328 ,0.000015
3.911884, 0.000173, -0.000328 ,0.000014
3.913090, 0.000173, -0.000327 ,0.000013
3.914295, 0.000172, -0.000326 ,0.000013
3.915500, 0.000172, -0.000325 ,0.000012
3.916705, 0.000171, -0.000324 ,0.000011
3.917909, 0.000171, -0.000323 ,0.000011
3.919112, 0.000170, -0.000323 ,0.000010
3.920315, 0.000170, -0.000322 ,0.000009
3.921516, 0.000170, -0.000321 ,0.000009
3.922718, 0.000169, -0.000320 ,0.000008
3.923918, 0.000169, -0.000319 ,0.000007
3.925117, 0.000168, -0.000318 ,0.000007
3.926315, 0.000168, -0.000317 ,0.000006
3.927511, 0.000167, -0.000317 ,0.000006
3.928707, 0.000167, -0.000316 ,0.000005
3.929901, 0.000167, -0.000315 ,0.000004
3.931093, 0.000166, -0.000314 ,0.000004
3.932284, 0.000166, -0.000313 ,0.000003
3.933473, 0.000165, -0.000312 ,0.000003
3.934660, 0.000165, -0.000311 ,0.000002
3.935846, 0.000164, -0.000311 ,0.000001
3.937030, 0.000164, -0.000310 ,0.000001
3.938211, 0.000163, -0.000309 ,0.000000
3.939391, 0.000163, -0.000308 ,-0.000000
3.940569, 0.000163, -0.000307 ,-0.000001
3.941744, 0.000162, -0.000306 ,-0.000001
3.942917, 0.000162, -0.000305 ,-0.000002
3.944088, 0.000161, -0.000305 ,-0.000002
3.945256, 0.000161, -0.000304 ,-0.000003
3.946421, 0.000160, -0.000303 ,-0.000003
3.947585, 0.000160, -0.000302 ,-0.000004
3.948745, 0.000159, -0.000301 ,-0.000004
